Date,Open,High,Low,Close,Adj Close,Volume,Fng_value,Fng_classification
2018-02-01,10237.299805,10288.799805,8812.280273,9170.540039,9170.540039,9959400448,30,Fear
2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,8830.75,12726899712,15,Extreme Fear
2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,9174.910156,7263790080,40,Fear
2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,8277.009766,7073549824,24,Extreme Fear
2018-02-05,8270.540039,8364.839844,6756.680176,6955.27002,6955.27002,9285289984,11,Extreme Fear
2018-02-06,7051.75,7850.700195,6048.259766,7754.0,7754.0,13999800320,8,Extreme Fear
2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,7621.299805,9169280000,36,Fear
2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,8265.589844,9346750464,30,Fear
2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,8736.980469,6784820224,44,Fear
2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,8621.900391,7780960256,54,Neutral
2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,8129.970215,6122189824,31,Fear
2018-02-12,8141.430176,8985.919922,8141.430176,8926.570313,8926.570313,6256439808,42,Fear
2018-02-13,8926.719727,8958.469727,8455.410156,8598.30957,8598.30957,5696719872,35,Fear
2018-02-14,8599.919922,9518.540039,8599.919922,9494.629883,9494.629883,7909819904,55,Greed
2018-02-15,9488.320313,10234.799805,9395.580078,10166.400391,10166.400391,9062540288,71,Greed
2018-02-16,10135.700195,10324.099609,9824.820313,10233.900391,10233.900391,7296159744,67,Greed
2018-02-17,10207.5,11139.5,10149.400391,11112.700195,11112.700195,8660880384,74,Greed
2018-02-18,11123.400391,11349.799805,10326.0,10551.799805,10551.799805,8744009728,63,Greed
2018-02-19,10552.599609,11273.799805,10513.200195,11225.299805,11225.299805,7652089856,67,Greed
2018-02-20,11231.799805,11958.5,11231.799805,11403.700195,11403.700195,9926540288,74,Greed
2018-02-21,11372.200195,11418.5,10479.099609,10690.400391,10690.400391,9405339648,54,Neutral
2018-02-22,10660.400391,11039.099609,9939.089844,10005.0,10005.0,8040079872,44,Fear
2018-02-23,9937.070313,10487.299805,9734.55957,10301.099609,10301.099609,7739500032,39,Fear
2018-02-24,10287.700195,10597.200195,9546.969727,9813.070313,9813.070313,6917929984,31,Fear
2018-02-25,9796.419922,9923.219727,9407.05957,9664.730469,9664.730469,5706939904,33,Fear
2018-02-26,9669.429688,10475.0,9501.730469,10366.700195,10366.700195,7287690240,37,Fear
2018-02-27,10393.900391,10878.5,10246.099609,10725.599609,10725.599609,6966179840,44,Fear
2018-02-28,10687.200195,11089.799805,10393.099609,10397.900391,10397.900391,6936189952,41,Fear
2018-03-01,10385.0,11052.299805,10352.700195,10951.0,10951.0,7317279744,38,Fear
2018-03-02,10977.400391,11189.0,10850.099609,11086.400391,11086.400391,7620590080,47,Neutral
2018-03-03,11101.900391,11528.200195,11002.400391,11489.700195,11489.700195,6690570240,56,Greed
2018-03-04,11497.400391,11512.599609,11136.099609,11512.599609,11512.599609,6084149760,44,Fear
2018-03-05,11532.400391,11704.099609,11443.900391,11573.299805,11573.299805,6468539904,55,Greed
2018-03-06,11500.099609,11500.099609,10694.299805,10779.900391,10779.900391,6832169984,59,Greed
2018-03-07,10803.900391,10929.5,9692.120117,9965.570313,9965.570313,8797910016,37,Fear
2018-03-08,9951.44043,10147.400391,9335.870117,9395.009766,9395.009766,7186089984,39,Fear
2018-03-09,9414.69043,9466.349609,8513.030273,9337.549805,9337.549805,8704190464,37,Fear
2018-03-10,9350.589844,9531.320313,8828.469727,8866.0,8866.0,5386319872,39,Fear
2018-03-11,8852.780273,9711.889648,8607.120117,9578.629883,9578.629883,6296370176,40,Fear
2018-03-12,9602.929688,9937.5,8956.429688,9205.120117,9205.120117,6457399808,41,Fear
2018-03-13,9173.040039,9470.379883,8958.19043,9194.849609,9194.849609,5991139840,41,Fear
2018-03-14,9214.650391,9355.849609,8068.589844,8269.80957,8269.80957,6438230016,40,Fear
2018-03-15,8290.759766,8428.349609,7783.049805,8300.860352,8300.860352,6834429952,32,Fear
2018-03-16,8322.910156,8585.150391,8005.310059,8338.349609,8338.349609,5289379840,33,Fear
2018-03-17,8321.910156,8346.530273,7812.819824,7916.879883,7916.879883,4426149888,31,Fear
2018-03-18,7890.52002,8245.509766,7397.990234,8223.679688,8223.679688,6639190016,29,Fear
2018-03-19,8344.120117,8675.870117,8182.399902,8630.650391,8630.650391,6729110016,29,Fear
2018-03-20,8619.669922,9051.019531,8389.889648,8913.469727,8913.469727,6361789952,37,Fear
